name,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,tempo,valence,sentiment,predicted_mood
deja vu,Olivia Rodrigo,0.439,0.61,-7.236,0.116,0.593,1.07e-05,181.088,0.172,0.9927,Calm
MONTERO (Call Me By Your Name),Lil Nas X,0.61,0.508,-6.682,0.152,0.297,0.0,178.818,0.758,0.0982,Calm
Beggin',Måneskin,0.714,0.8,-4.808,0.0504,0.127,0.0,134.002,0.589,0.9993,Excited
Good Days,SZA,0.436,0.655,-8.37,0.0583,0.499,8.1e-06,121.002,0.412,0.877,Sad
drivers license,Olivia Rodrigo,0.585,0.436,-8.761,0.0601,0.721,1.31e-05,143.874,0.132,0.6053,Sad
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,0.677,0.696,-6.181,0.119,0.321,0.0,90.03,0.464,-0.9081,Calm
Leave The Door Open,Bruno Mars,0.586,0.616,-7.964,0.0324,0.182,0.0,148.088,0.719,0.9912,Happy
Save Your Tears (with Ariana Grande) (Remix),The Weeknd,0.65,0.825,-4.645,0.0325,0.0215,2.44e-05,118.091,0.593,0.9556,Excited
Happier Than Ever,Billie Eilish,0.332,0.225,-8.697,0.0348,0.767,0.00349,81.055,0.297,-0.9563,Sad
Easy On Me,Adele,0.604,0.366,-7.519,0.0282,0.578,0.0,141.981,0.13,0.9893,Sad
Heartbreak Anniversary,Giveon,0.449,0.465,-8.964,0.0791,0.524,1.02e-06,89.087,0.543,0.9332,Sad
Woman,Doja Cat,0.824,0.764,-4.175,0.0854,0.0888,0.00294,107.998,0.881,0.9277,Happy
34+35,Ariana Grande,0.83,0.585,-6.476,0.094,0.237,0.0,109.978,0.485,0.9269,Calm
love nwantiti (ah ah ah),CKay,0.727,0.739,-3.805,0.0411,0.365,0.00137,93.005,0.533,0.9923,Happy
Fair Trade (with Travis Scott),Drake,0.666,0.465,-8.545,0.26,0.0503,0.0,167.937,0.292,0.9004,Excited
Levitating (feat. DaBaby),Dua Lipa,0.702,0.825,-3.787,0.0601,0.00883,0.0,102.977,0.915,-0.9081,Happy
good 4 u,Olivia Rodrigo,0.556,0.661,-5.052,0.204,0.3,0.0,168.56,0.668,0.9989,Calm
Butter,BTS,0.759,0.459,-5.187,0.0948,0.00323,0.0,109.997,0.695,0.988,Happy
Kiss Me More (feat. SZA),Doja Cat,0.762,0.701,-3.541,0.0286,0.235,0.000158,110.968,0.742,-0.9081,Happy
STAY (with Justin Bieber),The Kid LAROI,0.591,0.764,-5.484,0.0483,0.0383,0.0,169.928,0.478,-0.9154,Excited
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,0.631,0.518,-8.771,0.0303,0.274,0.0,93.023,0.205,0.9971,Sad
happier,Olivia Rodrigo,0.395,0.443,-9.72,0.133,0.765,9.67e-06,168.924,0.338,0.999,Sad
telepatía,Kali Uchis,0.653,0.524,-9.016,0.0502,0.112,0.0,83.97,0.553,0.9325,Happy
